"id","source_id","external_id","url","title","content","posted_at","scraped_at","deadline_at","hash"
1,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508345&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 제2학기 예비수강신청 계획 안내","",,"2025-08-11 19:27:30",,"8fea480bafa48b300d908f6f1b3fd083833e901f56917f4218841802d47e2e4e"
2,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508326&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 제2학기 휴학 및 복학 신청 안내","",,"2025-08-11 19:27:35",,"6ac1a488404412133e7c2280477f940ce14a5be60c06db881eefb7ac0d49da7a"
3,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508261&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,「2025학년도 제2학기」수강신청 기본 계획 안내,"",,"2025-08-11 19:27:41",,"77782cb310720c797b64688dcc61ab8076192444e74c318ac2f44288502e94ad"
4,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2507931&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 2학기 국내 다른 대학 수학 안내","1. 지원자격 가. 본교에서 1학기 이상을 이수한 재학생으로서 직전 학기 성적평균 평점이 1.75 이상인 학생 ※ 3 학년 편입학자도 학점교류 가능 나. 학칙상 징계 받은 사실이 없는 학생 다. 국내․외의 다른 대학에서 이수한 학점이 졸업학점의 2분의 1 이내인 학생(계절학기 포함) ※ 국내 ․ 외 다른 대학에서 이수한 학점은 졸업학점의 2 분의 1 이내에서만 인정됨 라. 휴학자(당해학기 복학예정자 제외) 및 학위취득유예자는 신청 불가능 2. 지원서 작성 및 제출 가. 신청 절차(대학별 수학 안내문 확인 후 신청) ◦충남대학교포털( http://portal.cnu.ac.kr) → 교외활동신청 → 타대학학점교류신청→ 신청서 작성 후 출력하여 해당 신청 기한까지 소속 학과사무실에 제출 ◦당해 학기 복학 예정자는 휴학자용 지원서(붙임 문서)를 작성하여 제출하고 복학 후 통합정보시스템에 입력하여 학점교류신청서를 출력하여 제출 나. 다른 대학 수학신청서 작성요령 1) 이수 구분: 본교 교육과정의 이수 구분을 표기(전필, 전선, 교양, 일선 등) 2) 교과목번호: 본 교과목으로 인정받으면 관련 교과목번호 표기 3) 영역 표기: 이수 구분이 교양일 경우 해당 영역으로 표기 가) 2013학년도 이전 입학자: 일반교양 나) 2014학년도 이후 입학자: 핵심교양, 일반교양 4) 본교인정 교과목 제공학과장 날인 가) 교양일 경우 반드시 교과목 제공 학과장 날인 나) 전공일 경우 소속 학과장 날인 ※ 휴학 및 교과목변경 등 변동 사항(휴가, 취소, 변경)이 있을 경우 통합정보시스템에서 교류신청서를 수정 및 출력하여 소속 학과에 제출 다. 수업료는 정해진 등록 기간에 본 대학(충남대학교)에 납부함. 3. 2025학년도 2학기 대학별 수학 안내문 및 신청기한 ※ 학점교류대학에서 수학 안내문이 도착하는 대로 계속해서 업데이트 됩니다 . 연번 대학명 열람방법 ( 교무처 학사지원과 or 대학별 홈페이지 ) 신청 기한 연번 대학명 열람방법 ( 교무처 학사지원과 or 대학별 홈페이지 ) 신청 기한 1 강릉원주대 수학안내 8.5(화) 28 선문대 수학안내 8.20(수) 2 강원대 수학안내 7.21(월) 29 숙명여자대 수학안내 7.30(수) 3 건양대 http://www.konyang.ac.kr 30 순천대 수학안내 7.23(수) 4 경북대 수학안내 학생증 7.16(수) 31 순천향대 수학안내 8.20(수) 5 경상국립대 수학안내 7.23(수) 32 우송대 수학안내 교과목안내 7.29(화) 6 공주교육대 http://www.gjue.ac.kr 33 을지대 http://www.eulji.ac.kr 7 공주대 http://www.kongju.ac.kr 34 전남대 수학안내 매뉴얼 7.15(화) 8 과학기술연합대 http://www.ust.ac.kr 35 전북대 수학안내 7/16( 수 ) 9 국립경국대 ( 안동대 ) 수학안내 7.16(수) 36 제주대 수학안내 7.21(월) 10 국방대 http://www.kndu.ac.kr 37 중부대 http://www.joongbu.ac.kr 11 군산대 수학안내 7.28(월) 38 중앙대 수학안내 7.17(목) 12 금강대 http://www.ggu.ac.kr 39 창원대 수학안내 7.23(수) 13 금오공과대 수학안내 7.21(월) 40 청운대 http://www.chungwoon.ac.kr 14 나사렛대 수학안내 8.6(수) 41 충북대 수학안내 7.22(화) 15 남서울대 http://www.nsu.ac.kr 42 한경국립대 수학안내 7.28(월) 16 단국대 수학안내 8.7(목) 43 한국과학기술원 수학안내 7.16 (수) 17 대전대 http://www.dju.ac.kr 44 한국교원대 수학안내 7.18(금) 18 목원대 http://www.mokwon.ac.kr 45 한국교통대 http://www.ut.ac.kr/ 19 목포대 수학안내 7.29(화) 46 한국기술교육대 http://www.koreatech.ac.kr 20 목포해양대 http://www.mmu.ac.kr/ 47 한국체육대 http://www.knsu.ac.kr/ 21 배재대 http://www.pcu.ac.kr 48 한국침례신학대 http://www.kbtus.ac.kr 22 백석대 http://www.bu.ac.kr 49 한국해양대 수학안내 7.24(목) 23 부경대 수학안내 7.25(금) 50 한남대 http://www.hannam.ac.kr 24 부산대 수학안내 7.23(수) 51 한밭대 수학안내 교과목 안내 7.22(화) 25 상명대 수학안내 7.22(화) 52 한서대 수학안내 7.25(금) 26 서울대 수학안내 7.7(월) 53 호서대 수학안내 8.13(수) 27 서울시립대 수학안내 7.10(목) 54 특허청 수학안내 8.25(월) ※ 자세한 사항은 첨부파일을 참고하시기 바랍니다.",,"2025-08-11 19:27:52",,"77078482e882df3951bdf3302cf30b17265d314869c6e16af632e68f9196b87f"
5,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2506257&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,학생 출석인정(구학생 휴가)신청 변경 사항 안내,"",,"2025-08-11 19:27:58",,"83b5182604f06fb6535253ff535b8e6b5565b07ab404643f02c742bead8cc3c5"
6,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508640&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 2학기 국가장학금 2차 신청 안내","1. 신청대상: 신·편·재입학생(2학기 입학예정자), 복학생 및 1차 신청을 놓친 재학생 ※ 재학생은 1차 신청이 원칙이며, 재학 중 2회에 한하여 2차 신청으로 수혜 가능 2. 신청기간: 2025. 8. 13.(수) 9:00 ~ 9. 10.(수) 18:00 ※ 서류 제출 및 가구원 동의: 2025. 8. 13.(수) 9:00 ∼ 9. 17.(수) 18:00 3. 신청방법: 한국장학재단 누리집( www.kosaf.go.kr) 및 모바일 앱 4. 유의사항 ○ 반드시 본인 명의로 신청(학생 본인명의 계좌 입력 시 오탈자 없도록 정확히 입력) ○ 소속대학 및 학적 잘못 입력 시 심사 오류가 발생할 수 있으므로 정확히 입력하고, 2025학년도 2학기 기준으로 본인의 학적(재학･재입학 등)을 정확히 선택 ※ 의과대 및 수의과대 학생 중 예과에서 본과로 진급하는 경우 반드시 ‘재학생’ 으로 선택하여 신청 ※ (예) 2025학년도 1학기 신·편·재입학생은 금번 2학기 기준으로 ‘재학생’에 해당 ○ 국가장학금 신청자에 한하여 ‘2025년 2학기 재난장학금(피해가구 대학생)’ 및 ‘국가장학금 Ⅱ유형’ 지원 [참고] <2025년 2학기 대상 재난장학금> 근거 재난명 비고 대통령 공고 제 355 호 ’24 년 11 월 대설 · 강풍 · 풍랑 25-1 학기 , 25-2 학기 지원 대통령 공고 제 357 호 ’25 년 3 월 전투기 오폭 25-2 학기 , 26-1 학기 지원 대통령 공고 제 358 호 ~360 호 ’25 년 3 월 산불 25-2 학기 , 26-1 학기 지원 대통령 공고 제 364 호 ’25 년 7 월 집중호우 25-2 학기 , 26-1 학기 지원 5. 문의처: 한국장학재단 상담센터(☎1599-2000)",,"2025-08-11 19:28:05",,"5fba0deb0727c3eec4ac783fb2db413d0e1ab245d6faa41e281cb51790b5a760"
7,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508603&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 2학기 주거안정장학금 2차 신청 안내","1. 신청대상: 대학소재지 기준 부모의 주소지가 다른 교통권에 있는 원거리 대학에 다니는 기초생활수급·차상위계층 학생 ※ 상세 내용은 한국장학재단 홈페이지 참조 2. 신청기간: 2025. 8. 13.(수) 09:00 ~ 9. 10.(수) 18:00 ※ 서류제출 및 가구원 동의: 2025. 8. 13.(수) 09:00 ∼ 9. 17.(수) 18:00 ※ 반드시 기간 내 장학금 신청 및 서류제출 대상자는 온라인으로 서류제출 필수 3. 학생 신청대학 정보 수정기간: 2025. 9. 11.(목) ~ 10. 31.(금) ※ 학생 신청기간 동안에는 장학생 본인이 대학정보를 수정할 수 있음 4. 신청방법: 한국장학재단 홈페이지( www.kosaf.go.kr) 및 모바일 앱 5. 지원금액: 학기 중 최대 월 20만원 한도 내에서 학생이 지출한 비용(실비) 개별지급 6. 안내사항: 학적(신입생, 재학생) 구분없이 2학기 미신청자 신청 가능 7. 기타문의: 한국장학재단 상담센터(☎1599-2000)",,"2025-08-11 19:28:11",,ebc9592ece83152d8d0e731cd8405bb3671641b9388510ce6cef9f694f9a5351
8,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508596&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025학년도 제2학기 2차 국가근로장학사업 학생 신청기간 안내","",,"2025-08-11 19:28:18",,"9b9f6788c19157a2dc9ee91ded9a1692175386ff29276400841d79498439e6f2"
9,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508589&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=1,"2025년 (재)손태희장학재단 장학생 선발 안내","",,"2025-08-11 19:28:25",,f9891d1eb6ec1aae56bee5ca27844b6249cc0b7cbc27e50013e82a21c94f21bd
13,1,,https://plus.cnu.ac.kr/_prog/_board/?mode=V&no=2508538&code=sub07_0702&site_dvs_cd=kr&menu_dvs_cd=0702&skey=&sval=&site_dvs=&ntt_tag=&GotoPage=2,"2026년 소아·청소년 당뇨인 푸른빛 희망 장학금 지원 안내","1. 신청기간: 2025. 6. 30.(월)~9. 19.(금) ※ 9. 19.까지 원본 우편 도착분에 한함 2. 지원대상: 만 3세~만 24세 소아·청소년 당뇨인(’22.1.1.생부터 ’01.12.31.생까지) 3. 지원금액: 당뇨인 1인 150만원 지원 4. 문 의 처: 02-572-0366(한국소아당뇨협의회) 5. 기타 세부사항은 붙임 안내문 참고",,"2025-08-11 19:37:12",,c0e8fc477f1e5a2a2a4ecc76a174b50335719267617dd40ea90abba94b701fb4
