"notice_id","category_id","confidence","model_version"
1,8,0.5000,stub-0.1
2,2,0.7500,stub-0.1
3,8,0.5000,stub-0.1
4,2,0.7500,stub-0.1
5,8,0.5000,stub-0.1
6,3,0.8000,stub-0.1
7,3,0.8000,stub-0.1
8,3,0.8000,stub-0.1
9,3,0.8000,stub-0.1
13,3,0.8000,stub-0.1
14,8,0.5000,stub-0.1
15,3,0.8000,stub-0.1
16,3,0.8000,stub-0.1
17,3,0.8000,stub-0.1
18,8,0.5000,stub-0.1
37,5,0.7200,stub-0.2
38,3,0.8800,stub-0.2
39,5,0.8800,stub-0.2
40,1,0.8800,stub-0.2
41,1,0.5100,stub-0.2
42,1,0.8800,stub-0.2
43,5,0.8800,stub-0.2
44,5,0.8800,stub-0.2
45,5,0.7200,stub-0.2
46,5,0.7200,stub-0.2
58,5,0.7200,stub-0.2
59,5,0.8800,stub-0.2
60,8,0.8800,stub-0.2
61,5,0.7200,stub-0.2
62,3,0.8800,stub-0.2
63,5,0.8800,stub-0.2
64,1,0.5100,stub-0.2
65,8,0.8800,stub-0.2
66,5,0.7200,stub-0.2
67,1,0.5100,stub-0.2
68,5,0.7200,stub-0.2
69,5,0.8800,stub-0.2
70,3,0.8800,stub-0.2
71,3,0.8800,stub-0.2
72,3,0.8800,stub-0.2
73,3,0.8800,stub-0.2
74,3,0.7200,stub-0.2
75,6,0.8800,stub-0.2
76,6,0.8800,stub-0.2
77,1,0.5100,stub-0.2
78,5,0.7200,stub-0.2
79,5,0.8800,stub-0.2
80,5,0.7200,stub-0.2
81,1,0.7200,stub-0.2
82,2,0.7200,stub-0.2
83,8,0.8800,stub-0.2
84,5,0.7200,stub-0.2
85,1,0.5100,stub-0.2
86,1,0.5100,stub-0.2
87,5,0.8800,stub-0.2
88,5,0.8800,stub-0.2
89,7,0.8800,stub-0.2
90,5,0.7200,stub-0.2
91,9,0.8800,stub-0.2
92,1,0.5100,stub-0.2
93,2,0.8800,stub-0.2
94,5,0.7200,stub-0.2
95,1,0.5100,stub-0.2
96,5,0.7200,stub-0.2
97,1,0.5100,stub-0.2
98,5,0.7200,stub-0.2
99,1,0.5100,stub-0.2
100,3,0.8800,stub-0.2
101,5,0.7200,stub-0.2
102,3,0.7200,stub-0.2
103,3,0.7200,stub-0.2
104,1,0.5100,stub-0.2
105,2,0.7200,stub-0.2
106,5,0.8800,stub-0.2
107,1,0.5100,stub-0.2
108,1,0.5100,stub-0.2
109,6,0.7200,stub-0.2
110,1,0.5100,stub-0.2
111,1,0.5100,stub-0.2
112,3,0.8800,stub-0.2
113,1,0.5100,stub-0.2
114,5,0.7200,stub-0.2
